"filename", "language", "Makefile", "Markdown", "C", "C++", "comment", "blank", "total"
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_strjoin.c", "C", 0, 0, 24, 0, 11, 4, 39
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_strlcat.c", "C", 0, 0, 21, 0, 11, 4, 36
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_strlcpy.c", "C", 0, 0, 20, 0, 11, 4, 35
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_strlen.c", "C", 0, 0, 11, 0, 11, 4, 26
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_strlenc.c", "C", 0, 0, 11, 0, 11, 4, 26
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_strmapi.c", "C", 0, 0, 19, 0, 11, 4, 34
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_strncmp.c", "C", 0, 0, 23, 0, 11, 3, 37
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_strnstr.c", "C", 0, 0, 26, 0, 11, 4, 41
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_strrchr.c", "C", 0, 0, 12, 0, 11, 4, 27
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_strtrim.c", "C", 0, 0, 35, 0, 11, 7, 53
"/home/ehosta/Documents/42-minishell/lib/src/str/ft_substr.c", "C", 0, 0, 34, 0, 11, 7, 52
"/home/ehosta/Documents/42-minishell/lib/src/to/ft_atoi.c", "C", 0, 0, 26, 0, 11, 4, 41
"/home/ehosta/Documents/42-minishell/lib/src/to/ft_itoa.c", "C", 0, 0, 63, 0, 11, 9, 83
"/home/ehosta/Documents/42-minishell/lib/src/to/ft_tolower.c", "C", 0, 0, 7, 0, 11, 3, 21
"/home/ehosta/Documents/42-minishell/lib/src/to/ft_toupper.c", "C", 0, 0, 7, 0, 11, 3, 21
"/home/ehosta/Documents/42-minishell/lib/variables.mk", "Makefile", 127, 0, 0, 0, 11, 4, 142
"/home/ehosta/Documents/42-minishell/src/builtins/builtin_cd.c", "C", 0, 0, 63, 0, 11, 8, 82
"/home/ehosta/Documents/42-minishell/src/builtins/builtin_echo.c", "C", 0, 0, 18, 0, 11, 4, 33
"/home/ehosta/Documents/42-minishell/src/builtins/builtin_env.c", "C", 0, 0, 53, 0, 11, 8, 72
"/home/ehosta/Documents/42-minishell/src/builtins/builtin_exit.c", "C", 0, 0, 19, 0, 11, 4, 34
"/home/ehosta/Documents/42-minishell/src/builtins/builtin_export.c", "C", 0, 0, 7, 0, 11, 3, 21
"/home/ehosta/Documents/42-minishell/src/builtins/builtin_pwd.c", "C", 0, 0, 21, 0, 11, 4, 36
