Date : 2025-04-22 13:44:20
Directory : /home/ehosta/Documents/42-minishell
Total : 147 files,  4676 codes, 1830 comments, 860 blanks, all 7366 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /home/ehosta/Documents/42-minishell/src/exec/timeline/fd_manager.c            | C        |         85 |          0 |          7 |         92 |
| /home/ehosta/Documents/42-minishell/src/exec/timeline/load_pipeline_params.c  | C        |         39 |          0 |          5 |         44 |
| /home/ehosta/Documents/42-minishell/src/exec/timeline/restore_std.c           | C        |          1 |          0 |          3 |          4 |
| /home/ehosta/Documents/42-minishell/src/main.c                                | C        |        174 |         22 |         16 |        212 |
| /home/ehosta/Documents/42-minishell/src/memory/free_cmds.c                    | C        |         57 |         11 |          8 |         76 |
| /home/ehosta/Documents/42-minishell/src/memory/free_env.c                     | C        |         24 |         11 |          4 |         39 |
| /home/ehosta/Documents/42-minishell/src/misc/print_cmds.c                     | C        |        145 |         11 |          6 |        162 |
| /home/ehosta/Documents/42-minishell/src/misc/show_prompt.c                    | C        |         62 |         11 |         11 |         84 |
| /home/ehosta/Documents/42-minishell/src/misc/signals.c                        | C        |         23 |         27 |          5 |         55 |
| /home/ehosta/Documents/42-minishell/src/parsing/lexer/lexer.c                 | C        |        164 |         23 |         19 |        206 |
| /home/ehosta/Documents/42-minishell/src/parsing/lexer/lexer_parse.c           | C        |         62 |         11 |          9 |         82 |
| /home/ehosta/Documents/42-minishell/src/parsing/lexer/lexer_utils.c           | C        |         23 |         12 |          5 |         40 |
| /home/ehosta/Documents/42-minishell/src/parsing/tokenizer/expand_tokens.c     | C        |        210 |         26 |         19 |        255 |
| /home/ehosta/Documents/42-minishell/src/parsing/tokenizer/fragments.c         | C        |         32 |         20 |          7 |         59 |
| /home/ehosta/Documents/42-minishell/src/parsing/tokenizer/token_lexer.c       | C        |         47 |         11 |          8 |         66 |
